cluster,datacenter,stage,isWaitingForStorage
aiops-1-001,dal10,success,no
aiops-1-002,dal12,success,no
aiops-1-003,dal13,success,no
aiops-1-004,dal10,success,no
aiops-1-005,dal12,success,no
aiops-2-001,wdc04,apic-install,no
aiops-2-002,wdc06,success,no
aiops-2-003,wdc07,apic-install,no
aiops-2-004,wdc04,success,no
aiops-2-005,wdc06,success,no
aiops-2-006,wdc07,success,no
aiops-2-007,wdc04,apic-install,no
aiops-2-008,wdc06,success,no
aiops-2-009,wdc07,apic-install,no
aiops-2-010,wdc04,success,no
aiops-2-011,wdc06,success,no
aiops-2-012,wdc07,apic-install,no
aiops-2-013,wdc04,success,no
aiops-2-014,wdc06,success,no
aiops-2-015,wdc07,apic-install,no
aiops-2-016,wdc04,success,no
aiops-2-017,wdc06,ace-db-install,yes
aiops-2-018,wdc07,apic-install,no
aiops-2-019,wdc04,success,no
aiops-2-020,wdc06,success,no
aiops-2-021,wdc07,success,no
aiops-2-022,wdc04,success,no
aiops-2-023,wdc06,success,no
aiops-2-024,wdc07,success,no
aiops-2-025,wdc04,success,no
aiops-2-026,wdc06,success,no
aiops-2-027,wdc07,success,no
aiops-2-028,wdc04,success,no
aiops-2-029,wdc06,traderlite-install,no
aiops-2-030,wdc07,success,no
aiops-2-031,wdc04,success,no
aiops-2-032,wdc06,success,no
aiops-2-033,wdc07,apic-install,no
aiops-2-034,wdc04,traderlite-install,no
aiops-2-035,wdc06,cs-install,no
aiops-2-036,wdc07,cs-install,no
aiops-2-037,wdc04,cs-install,no
aiops-2-038,wdc06,cs-install,no
aiops-2-039,wdc07,traderlite-install,no
aiops-2-040,wdc04,apic-install,no
aiops-2-041,wdc06,cs-install,no
aiops-2-042,wdc07,cs-install,no
aiops-2-043,wdc04,apic-install,no
aiops-2-044,wdc06,success,no
aiops-2-045,wdc07,success,no
aiops-2-046,wdc04,apic-install,no
aiops-2-047,wdc06,success,no
aiops-2-048,wdc07,apic-install,no
aiops-2-049,wdc04,success,no
aiops-2-050,wdc06,success,no
aiops-3-003,dal13,apic-install,yes
aiops-3-008,dal13,apic-install,yes
aiops-3-013,dal13,pn-install,yes
aiops-3-018,dal13,apic-install,yes
aiops-3-023,dal13,pn-install,yes
aiops-3-043,dal13,pn-install,yes
aiops-3-048,dal13,apic-install,yes
aiops-4-001,syd01,kafka-setup,no
aiops-4-002,syd04,success,no
aiops-4-004,syd01,success,no
aiops-4-005,syd04,pn-install,yes
aiops-4-007,syd01,kafka-setup,yes
aiops-4-008,syd04,kafka-setup,yes
aiops-4-010,syd01,pn-install,yes
aiops-4-011,syd04,pn-install,yes
aiops-4-013,syd01,kafka-setup,yes
aiops-4-014,syd04,roks_install,yes
aiops-4-016,syd01,pn-install,yes
aiops-4-017,syd04,kafka-setup,yes
aiops-4-019,syd01,pn-install,yes
aiops-4-022,syd01,kafka-setup,yes
aiops-4-026,syd04,kafka-setup,yes
aiops-4-037,syd01,kafka-setup,yes
aiops-4-038,syd04,kafka-setup,yes
aiops-4-040,syd01,ace-des-install,no
aiops-4-041,syd04,kafka-setup,yes
aiops-4-043,syd01,apic-install,yes
aiops-4-044,syd04,kafka-setup,yes
aiops-4-046,syd01,apic-install,no
aiops-4-047,syd04,kafka-setup,yes
aiops-4-049,syd01,traderlite-install,no
aiops-4-050,syd04,kafka-setup,yes
aiops-5-001,lon02,success,no
aiops-5-002,lon04,success,no
aiops-5-003,lon05,success,no
aiops-5-004,lon06,traderlite-install,no
aiops-5-005,lon02,success,no
aiops-5-006,lon04,success,no
aiops-5-007,lon05,apic-install,no
aiops-5-008,lon06,success,no
aiops-5-009,lon02,success,no
aiops-5-010,lon04,success,no
aiops-5-011,lon05,success,no
aiops-5-012,lon06,success,no
aiops-5-014,lon04,success,no
aiops-5-015,lon05,success,no
aiops-5-016,lon06,success,no
aiops-5-017,lon02,success,no
aiops-5-018,lon04,success,no
aiops-5-020,lon06,success,no
aiops-5-024,lon06,success,no
aiops-5-033,lon02,success,no
aiops-5-034,lon04,success,no
aiops-5-035,lon05,success,no
aiops-5-037,lon02,apic-install,no
aiops-5-038,lon04,success,no
aiops-5-039,lon05,success,no
aiops-5-041,lon02,success,no
aiops-5-042,lon04,success,no
aiops-5-043,lon05,success,no
aiops-5-044,lon06,apic-install,no
aiops-5-045,lon02,success,no
aiops-5-046,lon04,apic-install,no
aiops-5-047,lon05,success,no
aiops-5-048,lon06,apic-install,no
aiops-5-049,lon02,traderlite-install,no
aiops-5-050,lon04,success,no
aiops-6-001,fra02,success,no
aiops-6-002,fra04,traderlite-install,no
aiops-6-003,fra05,success,no
aiops-6-004,fra02,success,no
aiops-6-005,fra04,traderlite-install,no
aiops-6-006,fra05,apic-install,no
aiops-6-007,fra02,success,no
aiops-6-008,fra04,success,no
aiops-6-009,fra05,traderlite-install,no
aiops-6-010,fra02,success,no
aiops-6-011,fra04,success,no
aiops-6-012,fra05,success,no
aiops-6-013,fra02,success,no
aiops-6-014,fra04,success,no
aiops-6-015,fra05,apic-install,no
aiops-6-016,fra02,success,no
aiops-6-017,fra04,traderlite-install,no
aiops-6-018,fra05,success,no
aiops-6-019,fra02,success,no
aiops-6-020,fra04,success,no
aiops-6-021,fra05,pn-install,no
aiops-6-022,fra02,success,no
aiops-6-023,fra04,success,no
aiops-6-024,fra05,success,no
aiops-6-040,fra02,success,no
aiops-6-043,fra02,success,no
aiops-6-044,fra04,success,no
aiops-6-046,fra02,success,no
aiops-6-047,fra04,success,no
aiops-6-048,fra05,success,no
aiops-6-049,fra02,success,no
aiops-6-050,fra04,apic-install,no
aiops-7-001,tok02,success,no
aiops-7-002,tok04,traderlite-install,no
aiops-7-003,tok05,traderlite-install,no
aiops-7-004,tok02,success,no
aiops-7-005,tok04,success,no
aiops-7-006,tok05,traderlite-install,no
aiops-7-007,tok02,success,no
aiops-7-008,tok04,success,no
aiops-7-010,tok02,success,no
aiops-7-011,tok04,success,no
